"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 15:22:54 PKT 2024","Mon Jul 08 15:23:34 PKT 2024","40337","","Utilities","","Utilities","Cypress._ - call a lodash method","Cypress._ - call a lodash method",""
"passed","Mon Jul 08 15:14:21 PKT 2024","Mon Jul 08 15:14:22 PKT 2024","1288","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Mon Jul 08 15:15:03 PKT 2024","Mon Jul 08 15:15:04 PKT 2024","1459","","Cypress APIs Cypress.log","","Cypress APIs Cypress.log","Control what is printed to the Command Log","Control what is printed to the Command Log",""
"passed","Mon Jul 08 15:18:37 PKT 2024","Mon Jul 08 15:19:17 PKT 2024","39653","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() - wrap a method in a spy","cy.spy() - wrap a method in a spy",""
"passed","Mon Jul 08 15:19:35 PKT 2024","Mon Jul 08 15:19:37 PKT 2024","2320","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.tick() - move time in the browser","cy.tick() - move time in the browser",""
"failed","Mon Jul 08 15:14:58 PKT 2024","Mon Jul 08 15:15:00 PKT 2024","1639","","Cypress APIs Cypress.config()","","Cypress APIs Cypress.config()","Get and set configuration options","Get and set configuration options",""
"passed","Mon Jul 08 15:24:38 PKT 2024","Mon Jul 08 15:25:48 PKT 2024","70112","","Viewport","","Viewport","cy.viewport() - set the viewport size and dimension","cy.viewport() - set the viewport size and dimension",""
"passed","Mon Jul 08 15:20:40 PKT 2024","Mon Jul 08 15:21:22 PKT 2024","41522","","Traversal","","Traversal",".children() - get child DOM elements",".children() - get child DOM elements",""
"passed","Mon Jul 08 15:17:06 PKT 2024","Mon Jul 08 15:17:12 PKT 2024","6366","","Network Requests","","Network Requests","cy.request() with query parameters","cy.request() with query parameters",""
"passed","Mon Jul 08 15:11:46 PKT 2024","Mon Jul 08 15:12:07 PKT 2024","20814","","Login User","","Login User","TC01: Verify that User can Login Successfully","TC01: Verify that User can Login Successfully",""
"passed","Mon Jul 08 15:14:18 PKT 2024","Mon Jul 08 15:14:19 PKT 2024","1556","","Connectors","","Connectors",".spread() - spread an array as individual args to callback function",".spread() - spread an array as individual args to callback function",""
"passed","Mon Jul 08 15:16:33 PKT 2024","Mon Jul 08 15:16:59 PKT 2024","26256","","Network Requests","","Network Requests","cy.request() - make an XHR request","cy.request() - make an XHR request",""
"passed","Mon Jul 08 15:13:50 PKT 2024","Mon Jul 08 15:13:52 PKT 2024","1547","","Assertions Explicit Assertions","","Assertions Explicit Assertions","pass your own callback function to should()","pass your own callback function to should()",""
"passed","Mon Jul 08 15:22:37 PKT 2024","Mon Jul 08 15:22:41 PKT 2024","4067","","Traversal","","Traversal",".prev() - get previous sibling DOM element",".prev() - get previous sibling DOM element",""
"passed","Mon Jul 08 15:20:30 PKT 2024","Mon Jul 08 15:20:35 PKT 2024","4897","","Local Storage / Session Storage","","Local Storage / Session Storage","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Mon Jul 08 15:14:24 PKT 2024","Mon Jul 08 15:14:25 PKT 2024","1175","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Mon Jul 08 15:12:36 PKT 2024","Mon Jul 08 15:12:40 PKT 2024","4187","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Mon Jul 08 15:16:24 PKT 2024","Mon Jul 08 15:16:29 PKT 2024","5690","","Navigation","","Navigation","cy.visit() - visit a remote url","cy.visit() - visit a remote url",""
"passed","Mon Jul 08 15:15:25 PKT 2024","Mon Jul 08 15:15:27 PKT 2024","1572","","Location","","Location","cy.location() - get window.location","cy.location() - get window.location",""
"passed","Mon Jul 08 15:22:17 PKT 2024","Mon Jul 08 15:22:20 PKT 2024","2990","","Traversal","","Traversal",".nextAll() - get all next sibling DOM elements",".nextAll() - get all next sibling DOM elements",""
"passed","Mon Jul 08 15:22:07 PKT 2024","Mon Jul 08 15:22:14 PKT 2024","7151","","Traversal","","Traversal",".last() - get last DOM element",".last() - get last DOM element",""
"passed","Mon Jul 08 15:13:53 PKT 2024","Mon Jul 08 15:13:55 PKT 2024","1493","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Mon Jul 08 15:19:41 PKT 2024","Mon Jul 08 15:20:19 PKT 2024","38309","","Local Storage / Session Storage","","Local Storage / Session Storage","cy.clearLocalStorage() - clear all data in localStorage for the current origin","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Mon Jul 08 15:14:39 PKT 2024","Mon Jul 08 15:14:40 PKT 2024","979","","Cookies","","Cookies","cy.setCookie() - set a browser cookie","cy.setCookie() - set a browser cookie",""
"passed","Mon Jul 08 15:15:04 PKT 2024","Mon Jul 08 15:15:06 PKT 2024","1453","","Cypress APIs Cypress.platform","","Cypress APIs Cypress.platform","Get underlying OS name","Get underlying OS name",""
"passed","Mon Jul 08 15:14:37 PKT 2024","Mon Jul 08 15:14:38 PKT 2024","1527","","Cookies","","Cookies","cy.getCookies() - get browser cookies for the current domain","cy.getCookies() - get browser cookies for the current domain",""
"passed","Mon Jul 08 15:16:59 PKT 2024","Mon Jul 08 15:17:06 PKT 2024","6724","","Network Requests","","Network Requests","cy.request() - verify response using BDD syntax","cy.request() - verify response using BDD syntax",""
"passed","Mon Jul 08 15:22:44 PKT 2024","Mon Jul 08 15:22:46 PKT 2024","2472","","Traversal","","Traversal",".prevUntil() - get all previous sibling DOM elements until el",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Mon Jul 08 15:19:32 PKT 2024","Mon Jul 08 15:19:35 PKT 2024","2711","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.clock() - control time in the browser","cy.clock() - control time in the browser",""
"passed","Mon Jul 08 15:12:59 PKT 2024","Mon Jul 08 15:13:03 PKT 2024","3739","","Actions","","Actions",".uncheck() - uncheck a checkbox element",".uncheck() - uncheck a checkbox element",""
"passed","Mon Jul 08 15:15:53 PKT 2024","Mon Jul 08 15:16:17 PKT 2024","23821","","Navigation","","Navigation","cy.go() - go back or forward in the browser's history","cy.go() - go back or forward in the browser's history",""
"passed","Mon Jul 08 15:13:58 PKT 2024","Mon Jul 08 15:14:00 PKT 2024","2716","","Assertions Explicit Assertions","","Assertions Explicit Assertions","retries the should callback until assertions pass","retries the should callback until assertions pass",""
"passed","Mon Jul 08 15:13:48 PKT 2024","Mon Jul 08 15:13:50 PKT 2024","1470","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Mon Jul 08 15:17:13 PKT 2024","Mon Jul 08 15:17:17 PKT 2024","4756","","Network Requests","","Network Requests","cy.request() - pass result to the second request","cy.request() - pass result to the second request",""
"passed","Mon Jul 08 15:15:01 PKT 2024","Mon Jul 08 15:15:03 PKT 2024","1378","","Cypress APIs Cypress.env()","","Cypress APIs Cypress.env()","Get environment variables","Get environment variables",""
"passed","Mon Jul 08 15:12:32 PKT 2024","Mon Jul 08 15:12:36 PKT 2024","3634","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Mon Jul 08 15:21:59 PKT 2024","Mon Jul 08 15:22:06 PKT 2024","7545","","Traversal","","Traversal",".first() - get first DOM element",".first() - get first DOM element",""
"passed","Mon Jul 08 15:12:49 PKT 2024","Mon Jul 08 15:12:54 PKT 2024","5289","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Mon Jul 08 15:13:38 PKT 2024","Mon Jul 08 15:13:47 PKT 2024","8798","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
